n,days,win_rate,gross_pnl,net_pnl,scenario_net_pnl,expectancy,avg_win,avg_loss,payoff,max_drawdown,median,top5_share,entry_policy,variant,price_bin,status,exp_ci95
3141,30,0.4473,-78.7548,-78.7548,-141.5748,-0.025073,1.1795,-1.0,1.1795,124.9714,-1.0,-0.0952,FUNNEL,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.077335, 0.028843]"
671,29,0.4844,-21.0,-21.0,-34.42,-0.031297,1.0,-1.0,1.0,32.0,-1.0,-0.2381,FUNNEL,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.12766, 0.070652]"
172,23,1.0,0.3924,0.3924,-3.0476,0.002282,0.0023,0.0,,0.0,0.002,0.1131,GRID,YES_FAVORITE,,OK,"[0.001972, 0.002602]"
2082,30,0.562,51.881,51.881,10.241,0.024919,0.8238,-1.0,0.8238,39.6362,0.7241,0.0926,GRID,YES_FAVORITE,"[0.50,0.60)",OK,"[-0.011926, 0.060344]"
2237,30,0.6464,-2.6146,-2.6146,-47.3546,-0.001169,0.5452,-1.0,0.5452,41.3299,0.4925,-1.2749,GRID,YES_FAVORITE,"[0.60,0.70)",OK,"[-0.042821, 0.037827]"
2276,30,0.7452,3.0631,3.0631,-42.4569,0.001346,0.3438,-1.0,0.3438,39.4505,0.3158,0.6996,GRID,YES_FAVORITE,"[0.70,0.80)",OK,"[-0.025922, 0.028444]"
2201,30,0.8428,-4.0358,-4.0358,-48.0558,-0.001834,0.1843,-1.0,0.1843,26.7939,0.1765,-0.3097,GRID,YES_FAVORITE,"[0.80,0.90)",OK,"[-0.022632, 0.017897]"
2609,30,0.954,1.9997,1.9997,-50.1803,0.000766,0.049,-1.0,0.049,15.9186,0.0417,0.2778,GRID,YES_FAVORITE,"[0.90,0.99]",OK,"[-0.012685, 0.013639]"
51,19,0.0,-51.0,-51.0,-52.02,-1.0,0.0,-1.0,0.0,51.0,-1.0,0.098,GRID,YES_OUTSIDER,,OK,"[-1.0, -1.0]"
887,27,0.0203,-220.3333,-220.3333,-238.0733,-0.248403,36.037,-1.0,36.037,290.3333,-1.0,-1.112,GRID,YES_OUTSIDER,"[0.01,0.05)",OK,"[-0.650812, 0.173256]"
1094,29,0.0411,-428.0476,-428.0476,-449.9276,-0.391268,13.7989,-1.0,13.7989,428.0476,-1.0,-0.2219,GRID,YES_OUTSIDER,"[0.05,0.10)",OK,"[-0.561338, -0.209818]"
1013,30,0.0879,-266.3288,-266.3288,-286.5888,-0.262911,7.3896,-1.0,7.3896,292.2072,-1.0,-0.169,GRID,YES_OUTSIDER,"[0.10,0.15)",OK,"[-0.456824, -0.040439]"
1107,30,0.1328,-250.8093,-250.8093,-272.9493,-0.226567,4.8244,-1.0,4.8244,274.5529,-1.0,-0.113,GRID,YES_OUTSIDER,"[0.15,0.20)",OK,"[-0.359157, -0.073101]"
1094,30,0.202,-90.8567,-90.8567,-112.7367,-0.08305,3.5391,-1.0,3.5391,133.8423,-1.0,-0.2201,GRID,YES_OUTSIDER,"[0.20,0.25)",OK,"[-0.199162, 0.050769]"
1167,29,0.2485,-99.5752,-99.5752,-122.9152,-0.085326,2.6808,-1.0,2.6808,157.5721,-1.0,-0.1506,GRID,YES_OUTSIDER,"[0.25,0.30)",OK,"[-0.208303, 0.029218]"
1160,30,0.2888,-119.3233,-119.3233,-142.5233,-0.102865,2.1065,-1.0,2.1065,122.8781,-1.0,-0.0978,GRID,YES_OUTSIDER,"[0.30,0.35)",OK,"[-0.189441, -0.015268]"
1199,30,0.3636,-21.0038,-21.0038,-44.9838,-0.017518,1.7018,-1.0,1.7018,73.4252,-1.0,-0.4421,GRID,YES_OUTSIDER,"[0.35,0.40)",OK,"[-0.106984, 0.066591]"
2384,30,0.4346,-56.1373,-56.1373,-103.8173,-0.023548,1.247,-1.0,1.247,106.7729,-1.0,-0.1336,GRID,YES_OUTSIDER,"[0.40,0.50)",OK,"[-0.076494, 0.030347]"
658,30,0.4696,-57.0526,-57.0526,-70.2126,-0.086706,0.9448,-1.0,0.9448,75.3203,-1.0,-0.0876,GRID,YES_OUTSIDER,"[0.50,0.60)",OK,"[-0.176008, -0.012102]"
5,4,0.2,-3.3607,-3.3607,-3.4607,-0.672131,0.6393,-1.0,0.6393,4.0,-1.0,1.0,GRID,YES_OUTSIDER,"[0.60,0.70)",INSUFFICIENT_SAMPLE,
69,6,0.4928,-34.0806,-34.0806,-35.4606,-0.493922,0.027,-1.0,0.027,34.1934,-1.0,-0.0074,GRID,YES_OUTSIDER,"[0.90,0.99]",INSUFFICIENT_SAMPLE,
